"district","school","grade","n_math","mean_math","diffmath_charter","stdmath_public","mathperc_lvl","diffmathlvl_public","stdmathlvl_public","n_ela","mean_ela","diffela_charter","stdela_public","elaperc_lvl","diffelalvl_public","stdelalvl_public"
"Los Angeles Unified","Citizens of the World Silver Lake",3,"98",2455.8,36.4189565217393,0.947013576315362,0.6103,0.224318275862069,1.0336098134514,"98",2439.4,27.3789565217394,0.66025914593978,0.5084,0.131021206896552,0.62153723062942
"Los Angeles Unified","Citizens of the World Silver Lake",4,"103",2507,52.2317708333335,1.31575798271292,0.5888,0.26645724137931,1.26535708227686,"104",2500.4,50.3868055555558,1.13039545374279,0.5924,0.210498793103448,1.00196792707805
"Los Angeles Unified","Citizens of the World Silver Lake",5,"99",2529.2,55.5745733788394,1.27377500182253,0.5029,0.226182939189189,0.993882495674589,"99",2552.7,72.107495741056,1.58563328644531,0.7148,0.339802195945946,1.63669602145393
"Los Angeles Unified","Citizens of the World Silver Lake",6,"64",2495.3,8.80660377358527,0.188705934931835,0.2501,-0.0261372670807454,-0.113785826085523,"65",2518,21.5833333333335,0.518624868840196,0.4959,0.168816149068323,0.894372640067235
"Los Angeles Unified","Citizens of the World Silver Lake",7,"72",2538.1,39.4615044247785,0.719644512434913,0.3782,0.111584549356223,0.513858999818297,"72",2548.6,26.8407079646017,0.565011024333077,0.4991,0.139322746781116,0.674259296618781
"Los Angeles Unified","Citizens of the World Silver Lake",8,"55",2568,55.5018433179725,0.970892952082776,0.3658,0.0925208888888889,0.424586768526216,"53",2566.8,28.1506912442396,0.632866344613629,0.4668,0.117063555555556,0.613142874714202
"Los Angeles Unified","City Language Immersion Charter",13,"135",NA,NA,NA,0.2635,-0.0146895553257497,-0.0146895553257497,"135",NA,NA,NA,0.3846,0.00712326783867628,0.00712326783867628
"Los Angeles Unified","City Language Immersion Charter",3,"58",2402,-17.3810434782608,-0.451964738051052,0.2208,-0.165181724137931,-0.761121448600867,"58",2402.1,-9.9210434782608,-0.239251619709711,0.3342,-0.0431787931034483,-0.204831172930863
"Los Angeles Unified","City Language Immersion Charter",4,"56",2475.1,20.3317708333334,0.512172751370238,0.3305,0.00815724137931034,0.0387372589227507,"56",2478,27.9868055555557,0.627865914815775,0.4753,0.0933987931034483,0.444575447382558
"Los Angeles Unified","City Language Immersion Charter",5,"21",2458,-15.6254266211604,-0.358136403264315,0.1658,-0.110917060810811,-0.487386562429143,"21",2491.9,11.3074957410563,0.248650177753279,0.2709,-0.104097804054054,-0.501398942590893
"Los Angeles Unified","High Tech LA",11,"93",2656.8,135.793360995851,2.06143129210512,0.6018,0.383069076305221,1.67168412110261,"93",2684.2,121.255601659751,1.84619944976318,0.9001,0.467275903614458,1.97223725120353
"Los Angeles Unified","High Tech LA",13,"93",NA,NA,NA,0.6018,0.32361044467425,0.32361044467425,"93",NA,NA,NA,0.9001,0.522623267838676,0.522623267838676
"Los Angeles Unified","The City",13,"341",NA,NA,NA,0.4618,0.18361044467425,0.18361044467425,"341",NA,NA,NA,0.6214,0.243923267838676,0.243923267838676
"Los Angeles Unified","The City",6,"112",2546.9,60.4066037735852,1.29437918796142,0.4575,0.181262732919255,0.789108124427087,"112",2544.1,47.6833333333334,1.14578050173884,0.5378,0.210716149068323,1.11635503823017
"Los Angeles Unified","The City",7,"114",2549,50.3615044247786,0.918423684691082,0.4301,0.163484549356223,0.752864151019208,"115",2567.7,45.9407079646016,0.967076073399372,0.5935,0.233722746781116,1.13111274712397
"Los Angeles Unified","The City",8,"115",2591.7,79.2018433179724,1.38547671342806,0.4878,0.214520888888889,0.98445585735875,"114",2621.3,82.6506912442396,1.85810147231233,0.7318,0.382063555555556,2.00113131422604
"Los Angeles Unified","Valley Charter Elementary",13,"132",NA,NA,NA,0.5332,0.25501044467425,0.25501044467425,"132",NA,NA,NA,0.6265,0.249023267838676,0.249023267838676
"Los Angeles Unified","Valley Charter Elementary",3,"44",2487.1,67.7189565217391,1.76091731682964,0.7274,0.341418275862069,1.57318113767815,"44",2477.7,65.6789565217391,1.58388548171391,0.7274,0.350021206896552,1.66042747391129
